latitude,longitude,acq_date,frp,satellite,confidence
29.5411,75.6086,2025-10-25,39.5,MODIS,100
29.4887,75.7853,2025-10-25,43.0,MODIS,70
30.016,74.5529,2025-10-25,53.7,MODIS,70
30.2006,75.0648,2025-10-25,58.4,VIIRS,90
29.7709,75.4042,2025-10-25,125.4,VIIRS,90
29.8248,75.9019,2025-10-25,211.9,VIIRS,100
30.0305,76.7081,2025-10-25,82.2,VIIRS,70
30.3711,74.6004,2025-10-25,95.1,MODIS,70
30.6102,74.9999,2025-10-25,286.2,VIIRS,70
30.6107,74.7738,2025-10-25,401.0,VIIRS,100
30.722,75.3735,2025-10-25,399.2,MODIS,90
30.3086,75.3437,2025-10-25,305.6,VIIRS,90
30.7059,75.4787,2025-10-25,500.7,MODIS,70
30.6963,75.799,2025-10-25,176.8,VIIRS,90
30.3148,75.8449,2025-10-25,189.3,VIIRS,90
30.5453,76.6657,2025-10-25,74.5,VIIRS,70
31.0964,73.926,2025-10-25,31.3,MODIS,90
30.9514,74.7217,2025-10-25,155.2,MODIS,70
30.8131,75.1128,2025-10-25,259.3,VIIRS,70
31.0336,75.2149,2025-10-25,319.4,MODIS,70
31.1006,75.1315,2025-10-25,233.4,VIIRS,50
30.9681,75.5011,2025-10-25,233.0,VIIRS,70
30.8433,75.5005,2025-10-25,374.9,VIIRS,70
30.9149,75.2726,2025-10-25,231.9,MODIS,70
31.1267,75.716,2025-10-25,653.1,VIIRS,90
31.2181,75.9766,2025-10-25,170.1,MODIS,90
31.078,75.7928,2025-10-25,129.3,MODIS,70
31.0904,75.8372,2025-10-25,237.5,MODIS,100
31.1183,76.6979,2025-10-25,88.8,MODIS,70
31.2021,77.0045,2025-10-25,30.7,MODIS,70
31.7021,74.3677,2025-10-25,53.7,MODIS,70
31.2915,75.2299,2025-10-25,259.1,VIIRS,70
31.5062,75.4084,2025-10-25,219.7,MODIS,70
31.3983,75.5438,2025-10-25,259.4,MODIS,100
31.5819,76.225,2025-10-25,80.6,MODIS,90
31.4291,76.6692,2025-10-25,92.8,MODIS,90
32.2191,74.8686,2025-10-25,81.8,MODIS,100
31.9716,75.534,2025-10-25,76.6,VIIRS,100
32.1634,75.9177,2025-10-25,32.0,MODIS,100
29.5261,74.9507,2025-10-26,32.4,MODIS,90
29.4994,75.5755,2025-10-26,52.6,MODIS,90
29.2846,75.9407,2025-10-26,30.1,VIIRS,90
30.0433,74.6608,2025-10-26,110.1,MODIS,90
29.8207,74.7905,2025-10-26,167.1,VIIRS,90
30.0042,75.3527,2025-10-26,322.8,MODIS,90
30.0523,75.4193,2025-10-26,120.2,MODIS,90
29.8537,75.7922,2025-10-26,178.4,VIIRS,50
30.186,76.294,2025-10-26,100.2,MODIS,100
30.5389,73.998,2025-10-26,17.8,VIIRS,70
30.3057,74.4381,2025-10-26,176.5,VIIRS,100
30.464,74.9341,2025-10-26,426.8,VIIRS,100
30.4082,74.9,2025-10-26,155.9,VIIRS,50
30.2863,75.2211,2025-10-26,212.4,MODIS,50
30.7071,75.4796,2025-10-26,207.5,VIIRS,90
30.4903,75.4306,2025-10-26,246.2,MODIS,70
30.7031,75.4966,2025-10-26,660.1,MODIS,100
30.3534,75.3056,2025-10-26,233.7,VIIRS,70
30.4005,75.9378,2025-10-26,531.6,MODIS,90
30.3546,75.7877,2025-10-26,526.9,MODIS,70
30.5007,75.821,2025-10-26,419.5,MODIS,50
30.6338,76.2845,2025-10-26,197.6,VIIRS,100
30.3641,76.8733,2025-10-26,40.6,VIIRS,100
31.2224,74.0623,2025-10-26,38.3,VIIRS,100
30.9772,74.4948,2025-10-26,117.2,VIIRS,100
30.8773,74.9919,2025-10-26,315.4,VIIRS,90
30.8244,74.8002,2025-10-26,363.4,VIIRS,90
30.8198,74.7783,2025-10-26,197.6,VIIRS,70
30.9674,75.5601,2025-10-26,265.3,MODIS,90
30.9844,75.6234,2025-10-26,221.8,VIIRS,50
30.9964,75.6102,2025-10-26,624.2,VIIRS,70
31.2109,75.5131,2025-10-26,641.1,VIIRS,90
31.1475,75.3623,2025-10-26,599.0,VIIRS,100
30.7889,75.8077,2025-10-26,411.1,MODIS,90
30.9416,75.7759,2025-10-26,328.7,MODIS,90
31.1617,76.1565,2025-10-26,250.0,VIIRS,70
31.0651,76.5329,2025-10-26,181.1,MODIS,90
31.2239,76.8958,2025-10-26,20.7,VIIRS,90
31.6693,74.3476,2025-10-26,58.1,MODIS,90
31.5679,75.0971,2025-10-26,205.9,MODIS,70
31.5077,75.0824,2025-10-26,270.3,MODIS,90
31.3942,75.5105,2025-10-26,257.5,VIIRS,90
31.3268,75.301,2025-10-26,357.1,VIIRS,70
31.299,76.1728,2025-10-26,156.0,VIIRS,90
31.676,76.0958,2025-10-26,133.0,VIIRS,70
31.2953,76.691,2025-10-26,102.5,VIIRS,100
31.9168,74.6786,2025-10-26,20.3,VIIRS,90
32.1031,74.94,2025-10-26,76.9,MODIS,70
31.9289,75.435,2025-10-26,70.7,MODIS,50
32.0282,76.1393,2025-10-26,83.1,VIIRS,90
32.1545,76.5958,2025-10-26,18.7,MODIS,90
34.8977,72.9117,2025-10-26,42.0,VIIRS,70
26.1265,97.4714,2025-10-27,34.9,VIIRS,70
29.6604,74.975,2025-10-27,62.0,VIIRS,70
29.3212,75.3398,2025-10-27,122.2,MODIS,90
29.5323,76.0896,2025-10-27,31.0,VIIRS,100
30.0533,74.4474,2025-10-27,69.8,MODIS,70
29.8325,75.1283,2025-10-27,110.6,MODIS,90
29.8369,75.2152,2025-10-27,246.7,MODIS,70
29.9046,75.5596,2025-10-27,398.7,MODIS,90
29.7806,75.6656,2025-10-27,165.0,VIIRS,100
30.2153,75.927,2025-10-27,100.4,MODIS,70
30.0633,76.0344,2025-10-27,174.3,MODIS,90
30.0204,76.5525,2025-10-27,100.8,MODIS,100
30.3065,74.117,2025-10-27,25.8,MODIS,90
30.6395,74.4,2025-10-27,128.7,VIIRS,70
30.3908,74.9172,2025-10-27,271.5,MODIS,100
30.6605,75.012,2025-10-27,187.7,MODIS,70
30.5299,74.8022,2025-10-27,567.8,VIIRS,90
30.7042,75.1287,2025-10-27,633.5,VIIRS,70
30.4487,75.3987,2025-10-27,262.7,MODIS,90
30.3753,75.6428,2025-10-27,342.4,MODIS,90
30.4952,75.5127,2025-10-27,775.7,VIIRS,100
30.5931,75.5859,2025-10-27,453.1,MODIS,90
30.5134,75.278,2025-10-27,543.5,VIIRS,90
30.5853,76.1717,2025-10-27,324.3,MODIS,90
30.3819,75.8631,2025-10-27,237.5,MODIS,70
30.3748,75.8084,2025-10-27,493.3,VIIRS,100
30.3827,76.0142,2025-10-27,408.2,MODIS,70
30.6534,76.576,2025-10-27,193.6,VIIRS,70
30.7218,77.0433,2025-10-27,48.5,MODIS,70
31.1468,73.9858,2025-10-27,15.3,MODIS,100
31.1663,74.6436,2025-10-27,234.5,VIIRS,50
30.8148,75.0056,2025-10-27,205.8,VIIRS,50
30.8924,75.0437,2025-10-27,325.6,MODIS,100
31.2231,74.8788,2025-10-27,447.3,VIIRS,50
30.8409,74.7929,2025-10-27,548.2,MODIS,90
31.0527,75.609,2025-10-27,567.9,MODIS,70
31.0095,75.6161,2025-10-27,504.8,VIIRS,70
30.9155,75.6396,2025-10-27,680.8,VIIRS,100
30.8167,75.6142,2025-10-27,828.0,VIIRS,70
31.0418,75.6601,2025-10-27,543.8,VIIRS,70
30.9739,75.6967,2025-10-27,864.2,MODIS,90
30.9156,75.9915,2025-10-27,320.4,VIIRS,70
30.8822,76.0575,2025-10-27,587.3,VIIRS,100
31.0324,76.0108,2025-10-27,652.8,VIIRS,90
31.017,76.0732,2025-10-27,245.1,MODIS,100
30.7717,76.362,2025-10-27,110.8,MODIS,90
30.8981,76.9018,2025-10-27,19.6,VIIRS,90
31.3598,74.5837,2025-10-27,135.7,VIIRS,100
31.5762,75.0269,2025-10-27,356.3,VIIRS,90
31.7062,75.0282,2025-10-27,271.3,VIIRS,90
31.5871,75.4813,2025-10-27,405.1,VIIRS,90
31.6033,75.2879,2025-10-27,155.6,MODIS,90
31.5893,75.4054,2025-10-27,412.7,MODIS,100
31.4013,75.919,2025-10-27,298.3,VIIRS,70
31.5633,76.0265,2025-10-27,144.9,MODIS,70
31.5148,76.556,2025-10-27,83.1,VIIRS,100
32.0237,74.7274,2025-10-27,36.5,VIIRS,100
32.2294,74.8679,2025-10-27,81.2,VIIRS,70
32.1518,75.3553,2025-10-27,76.3,VIIRS,90
32.0272,76.0213,2025-10-27,97.6,VIIRS,90
31.9919,76.5141,2025-10-27,46.6,VIIRS,100
37.6883,84.1468,2025-10-27,42.6,VIIRS,90
29.7228,74.6982,2025-10-28,26.1,MODIS,90
29.3614,74.7792,2025-10-28,100.1,VIIRS,50
29.4162,75.5397,2025-10-28,100.6,VIIRS,70
29.69,76.1314,2025-10-28,86.3,MODIS,90
29.6053,76.4609,2025-10-28,38.2,MODIS,70
29.8108,74.3748,2025-10-28,59.6,VIIRS,50
30.017,74.8935,2025-10-28,278.1,VIIRS,100
29.9496,74.8922,2025-10-28,245.5,VIIRS,100
29.9424,75.5173,2025-10-28,321.8,MODIS,50
29.8404,75.3293,2025-10-28,271.4,VIIRS,50
29.8254,75.3039,2025-10-28,301.9,VIIRS,100
30.1833,76.1871,2025-10-28,193.7,MODIS,90
29.9359,76.2117,2025-10-28,295.2,VIIRS,70
29.8388,76.4625,2025-10-28,58.1,MODIS,70
30.519,74.1729,2025-10-28,57.0,VIIRS,70
30.5318,74.6814,2025-10-28,104.0,VIIRS,90
30.387,74.817,2025-10-28,692.1,VIIRS,70
30.6477,75.0343,2025-10-28,689.2,MODIS,50
30.687,75.1064,2025-10-28,196.8,MODIS,90
30.6312,74.9005,2025-10-28,672.1,VIIRS,70
30.3644,75.3432,2025-10-28,977.1,MODIS,90
30.2836,75.697,2025-10-28,431.4,MODIS,90
30.3542,75.438,2025-10-28,888.3,MODIS,90
30.5855,75.4647,2025-10-28,620.4,MODIS,70
30.3316,75.3168,2025-10-28,845.6,MODIS,90
30.3944,75.5794,2025-10-28,332.9,MODIS,50
30.5365,76.1895,2025-10-28,596.9,VIIRS,100
30.621,75.8522,2025-10-28,319.7,MODIS,50
30.4415,75.8254,2025-10-28,369.5,MODIS,70
30.3966,76.0486,2025-10-28,463.7,VIIRS,90
30.5611,76.293,2025-10-28,215.3,MODIS,90
30.485,76.787,2025-10-28,32.6,MODIS,90
31.222,74.2218,2025-10-28,35.8,VIIRS,90
31.1026,74.4297,2025-10-28,313.0,MODIS,90
30.892,74.4211,2025-10-28,141.9,MODIS,90
30.8818,74.9133,2025-10-28,753.1,VIIRS,90
31.012,74.8871,2025-10-28,629.1,MODIS,100
30.8605,74.9755,2025-10-28,491.3,MODIS,90
30.9975,75.1072,2025-10-28,369.3,VIIRS,90
31.1532,75.1306,2025-10-28,433.1,MODIS,100
31.137,75.4293,2025-10-28,383.0,VIIRS,90
30.9797,75.6887,2025-10-28,769.8,MODIS,90
30.9375,75.533,2025-10-28,949.9,VIIRS,100
30.8436,75.2978,2025-10-28,363.4,MODIS,90
30.941,75.3292,2025-10-28,699.5,VIIRS,70
31.0373,75.7119,2025-10-28,285.1,MODIS,70
30.956,75.8139,2025-10-28,356.6,VIIRS,90
31.0932,76.0227,2025-10-28,386.7,MODIS,90
30.9723,75.968,2025-10-28,211.0,VIIRS,90
30.7893,76.1789,2025-10-28,677.2,MODIS,70
31.0771,76.135,2025-10-28,753.1,VIIRS,70
30.8269,76.6609,2025-10-28,203.2,MODIS,70
31.0324,76.4615,2025-10-28,154.5,MODIS,100
31.1371,77.21,2025-10-28,19.9,VIIRS,90
31.62,74.3158,2025-10-28,172.0,VIIRS,100
31.6233,75.1633,2025-10-28,344.7,VIIRS,90
31.7045,74.8756,2025-10-28,218.4,MODIS,70
31.6103,75.3505,2025-10-28,616.9,VIIRS,50
31.3531,75.5413,2025-10-28,299.3,MODIS,70
31.5033,75.4377,2025-10-28,513.4,MODIS,90
31.3878,76.153,2025-10-28,167.5,MODIS,70
31.3024,76.2247,2025-10-28,317.3,VIIRS,70
31.5961,76.2932,2025-10-28,109.6,VIIRS,70
32.088,74.4697,2025-10-28,15.6,MODIS,90
32.0933,74.8742,2025-10-28,58.7,VIIRS,70
31.9577,75.3063,2025-10-28,96.6,VIIRS,70
32.0448,76.1658,2025-10-28,57.3,VIIRS,90
31.8726,76.3726,2025-10-28,34.4,MODIS,70
17.7221,79.0394,2025-10-29,12.8,VIIRS,50
29.4641,74.4628,2025-10-29,43.1,VIIRS,90
29.4043,74.8769,2025-10-29,87.8,VIIRS,70
29.3521,75.303,2025-10-29,45.0,MODIS,70
29.6584,76.0079,2025-10-29,73.5,MODIS,50
29.408,76.5432,2025-10-29,35.3,MODIS,70
29.8022,74.5518,2025-10-29,92.6,VIIRS,90
29.8103,75.1409,2025-10-29,409.0,MODIS,90
29.8592,75.0308,2025-10-29,379.8,MODIS,50
30.1703,75.4662,2025-10-29,471.9,MODIS,70
30.0369,75.3532,2025-10-29,169.6,MODIS,90
29.8546,75.3426,2025-10-29,474.2,MODIS,70
30.1367,75.9373,2025-10-29,145.6,MODIS,90
29.8661,76.1399,2025-10-29,397.1,MODIS,90
29.9771,76.3091,2025-10-29,143.4,VIIRS,100
30.3845,73.9318,2025-10-29,65.8,VIIRS,90
30.5607,74.43,2025-10-29,193.7,MODIS,70
30.564,74.3802,2025-10-29,255.6,VIIRS,90
30.5337,75.0731,2025-10-29,606.1,VIIRS,70
30.73,74.8269,2025-10-29,828.2,MODIS,90
30.3065,75.1268,2025-10-29,622.7,MODIS,70
30.5272,74.7972,2025-10-29,779.8,VIIRS,70
30.7042,75.1732,2025-10-29,453.3,VIIRS,70
30.6017,75.5518,2025-10-29,1117.9,VIIRS,90
30.3172,75.728,2025-10-29,1023.5,MODIS,90
30.3705,75.4447,2025-10-29,519.0,VIIRS,90
30.4824,75.3797,2025-10-29,793.7,VIIRS,90
30.3024,75.3971,2025-10-29,518.6,VIIRS,90
30.2839,75.6479,2025-10-29,662.2,MODIS,100
30.5367,75.7181,2025-10-29,902.9,MODIS,70
30.2892,75.9018,2025-10-29,638.3,VIIRS,90
30.2885,76.1459,2025-10-29,757.0,VIIRS,100
30.6962,75.8891,2025-10-29,395.0,MODIS,90
30.4197,75.8199,2025-10-29,346.2,VIIRS,50
30.2858,75.8445,2025-10-29,226.2,MODIS,70
30.6441,76.4348,2025-10-29,109.0,VIIRS,100
30.2719,76.4452,2025-10-29,152.3,VIIRS,70
30.708,77.0597,2025-10-29,21.9,MODIS,100
30.8877,73.911,2025-10-29,47.6,VIIRS,100
30.9601,74.5338,2025-10-29,348.8,MODIS,100
31.1443,74.3814,2025-10-29,123.5,VIIRS,70
31.1259,75.1545,2025-10-29,485.4,MODIS,50
30.985,75.2015,2025-10-29,674.5,VIIRS,100
30.7824,75.1088,2025-10-29,716.9,MODIS,100
31.0661,74.8525,2025-10-29,285.8,VIIRS,100
31.1497,74.8686,2025-10-29,900.6,VIIRS,90
31.0531,75.6943,2025-10-29,947.2,VIIRS,100
30.8879,75.4667,2025-10-29,821.9,MODIS,100
30.8164,75.587,2025-10-29,876.2,MODIS,90
31.1204,75.5796,2025-10-29,441.1,MODIS,90
31.0226,75.3467,2025-10-29,1121.6,MODIS,90
31.133,75.452,2025-10-29,972.0,VIIRS,90
31.0346,75.4864,2025-10-29,1141.5,VIIRS,70
31.0117,75.7919,2025-10-29,865.3,VIIRS,90
30.9094,75.8412,2025-10-29,755.4,MODIS,100
31.0218,76.1075,2025-10-29,272.9,MODIS,50
30.9205,76.2267,2025-10-29,830.9,MODIS,70
30.8575,76.1351,2025-10-29,420.4,MODIS,70
30.9174,76.4518,2025-10-29,326.5,MODIS,70
31.1868,76.4262,2025-10-29,336.9,MODIS,100
30.8658,77.1074,2025-10-29,44.5,MODIS,90
31.3815,74.1282,2025-10-29,28.9,MODIS,90
31.568,74.4695,2025-10-29,191.3,MODIS,70
31.5491,75.1564,2025-10-29,510.2,VIIRS,100
31.32,75.085,2025-10-29,393.1,VIIRS,90
31.398,75.1836,2025-10-29,239.9,MODIS,90
31.4947,75.4493,2025-10-29,706.9,MODIS,70
31.4921,75.5875,2025-10-29,558.6,MODIS,90
31.5434,75.4126,2025-10-29,504.7,VIIRS,70
31.6261,75.5378,2025-10-29,664.1,MODIS,70
31.7242,76.1517,2025-10-29,151.0,VIIRS,90
31.5167,75.9782,2025-10-29,277.1,VIIRS,100
31.5179,76.09,2025-10-29,494.6,VIIRS,90
31.5633,76.6234,2025-10-29,122.0,MODIS,70
31.399,76.7894,2025-10-29,27.6,MODIS,90
31.8346,74.6488,2025-10-29,33.0,VIIRS,100
31.8014,75.0505,2025-10-29,46.3,VIIRS,90
31.9004,75.6196,2025-10-29,213.8,VIIRS,70
32.1902,75.8004,2025-10-29,82.5,MODIS,90
31.7758,76.5133,2025-10-29,37.7,VIIRS,90
29.6447,74.364,2025-10-30,26.8,VIIRS,70
29.5761,75.0153,2025-10-30,110.6,MODIS,100
29.532,75.6896,2025-10-30,95.3,MODIS,90
29.2954,76.118,2025-10-30,95.1,MODIS,100
29.3558,76.3777,2025-10-30,21.4,MODIS,100
29.9711,74.6916,2025-10-30,146.9,VIIRS,70
30.1474,75.166,2025-10-30,213.8,MODIS,70
30.0988,75.0156,2025-10-30,233.3,MODIS,70
30.034,75.441,2025-10-30,286.4,VIIRS,50
30.2291,75.681,2025-10-30,162.4,VIIRS,70
30.1888,75.6776,2025-10-30,227.2,VIIRS,90
29.8942,75.6566,2025-10-30,306.9,MODIS,70
29.7934,75.9859,2025-10-30,315.8,MODIS,90
30.2072,76.164,2025-10-30,384.9,VIIRS,90
30.0903,76.3055,2025-10-30,145.5,MODIS,100
30.3182,73.7732,2025-10-30,63.0,MODIS,50
30.5845,74.7059,2025-10-30,100.8,VIIRS,100
30.3598,74.7062,2025-10-30,359.9,MODIS,90
30.4866,75.0344,2025-10-30,767.3,VIIRS,90
30.615,74.9253,2025-10-30,679.6,VIIRS,90
30.648,75.0762,2025-10-30,737.4,VIIRS,70
30.2859,75.1806,2025-10-30,869.8,VIIRS,70
30.3626,74.8692,2025-10-30,706.5,MODIS,90
30.5227,75.5487,2025-10-30,793.9,MODIS,70
30.7091,75.729,2025-10-30,498.9,MODIS,70
30.6179,75.4378,2025-10-30,802.2,VIIRS,90
30.3651,75.6089,2025-10-30,929.9,MODIS,90
30.4259,75.4432,2025-10-30,980.9,MODIS,70
30.4147,75.2701,2025-10-30,1171.8,MODIS,90
30.6284,75.4504,2025-10-30,1104.1,VIIRS,90
30.4241,75.2778,2025-10-30,791.9,VIIRS,90
30.6184,75.8991,2025-10-30,475.6,VIIRS,50
30.7096,76.1931,2025-10-30,845.7,VIIRS,90
30.3967,75.8169,2025-10-30,480.8,VIIRS,70
30.495,76.2183,2025-10-30,905.4,VIIRS,90
30.6227,75.8216,2025-10-30,398.9,MODIS,100
30.2721,76.4133,2025-10-30,225.6,MODIS,90
30.6655,76.3391,2025-10-30,174.2,MODIS,70
30.4297,77.0541,2025-10-30,55.8,MODIS,100
30.9178,73.791,2025-10-30,75.5,MODIS,100
31.0656,74.4228,2025-10-30,143.7,VIIRS,100
31.1462,74.3233,2025-10-30,373.7,MODIS,90
31.0445,74.9784,2025-10-30,482.0,VIIRS,90
31.109,75.1021,2025-10-30,460.2,VIIRS,90
30.7762,75.0529,2025-10-30,489.1,VIIRS,70
30.877,75.1356,2025-10-30,297.9,VIIRS,90
31.0616,74.8647,2025-10-30,773.4,VIIRS,70
30.8286,74.9131,2025-10-30,330.8,VIIRS,70
30.8427,75.6333,2025-10-30,775.2,MODIS,50
30.9273,75.4331,2025-10-30,725.7,MODIS,70
30.8866,75.6326,2025-10-30,1260.4,VIIRS,100
30.8652,75.5184,2025-10-30,659.2,MODIS,90
31.1712,75.4219,2025-10-30,933.5,MODIS,50
30.9313,75.4235,2025-10-30,778.1,VIIRS,70
30.8228,75.4369,2025-10-30,1178.3,VIIRS,70
31.2223,75.4186,2025-10-30,1281.5,MODIS,70
30.981,75.8798,2025-10-30,376.8,VIIRS,90
30.884,76.1905,2025-10-30,389.5,MODIS,100
30.9467,76.1908,2025-10-30,381.2,VIIRS,100
31.0241,76.1781,2025-10-30,904.5,VIIRS,90
30.9455,76.2114,2025-10-30,781.0,MODIS,70
30.9191,75.8725,2025-10-30,370.7,MODIS,70
30.8072,76.2997,2025-10-30,275.4,MODIS,90
30.9228,76.6665,2025-10-30,214.3,MODIS,50
31.1558,77.0401,2025-10-30,59.6,MODIS,70
31.2801,73.9113,2025-10-30,13.7,VIIRS,50
31.553,74.6298,2025-10-30,128.6,VIIRS,90
31.4139,74.9927,2025-10-30,466.3,MODIS,90
31.2707,74.9004,2025-10-30,460.9,MODIS,50
31.3639,74.8219,2025-10-30,557.1,MODIS,50
31.6225,75.341,2025-10-30,668.2,MODIS,70
31.5337,75.3656,2025-10-30,339.4,MODIS,90
31.309,75.3936,2025-10-30,292.2,VIIRS,70
31.3309,75.3966,2025-10-30,757.9,VIIRS,90
31.3351,76.0257,2025-10-30,364.3,MODIS,70
31.6305,75.9963,2025-10-30,545.8,MODIS,50
31.349,75.937,2025-10-30,339.7,MODIS,90
31.5163,76.5895,2025-10-30,73.4,VIIRS,100
31.6281,76.9833,2025-10-30,40.8,VIIRS,70
31.8198,74.4324,2025-10-30,18.7,MODIS,50
31.9834,75.1372,2025-10-30,105.8,VIIRS,90
32.2172,75.2891,2025-10-30,140.4,MODIS,70
32.0385,76.2017,2025-10-30,98.7,MODIS,90
31.9329,76.4025,2025-10-30,37.7,VIIRS,70
32.445,74.8507,2025-10-30,33.0,VIIRS,90
20.8666,76.1443,2025-10-31,32.8,MODIS,70
29.2835,74.6382,2025-10-31,41.1,VIIRS,90
29.688,75.1726,2025-10-31,76.0,MODIS,90
29.3554,75.7281,2025-10-31,59.4,VIIRS,90
29.6839,76.0106,2025-10-31,128.8,MODIS,90
29.4389,76.5836,2025-10-31,25.6,MODIS,50
30.0879,74.0278,2025-10-31,37.5,MODIS,90
29.9057,74.6015,2025-10-31,177.5,VIIRS,70
30.1616,75.0076,2025-10-31,446.4,VIIRS,90
30.1034,75.206,2025-10-31,220.4,MODIS,90
29.8467,75.173,2025-10-31,498.7,VIIRS,50
30.0707,75.6156,2025-10-31,214.8,VIIRS,50
29.9181,75.4299,2025-10-31,310.3,VIIRS,90
29.9388,75.54,2025-10-31,200.4,MODIS,100
29.9374,75.2961,2025-10-31,594.7,VIIRS,70
29.9327,76.1691,2025-10-31,484.3,VIIRS,100
30.1816,76.0532,2025-10-31,448.1,MODIS,70
30.026,76.0278,2025-10-31,415.8,VIIRS,50
30.021,76.658,2025-10-31,103.4,VIIRS,100
29.8172,76.9067,2025-10-31,14.5,VIIRS,70
